t_us,p1,p2,p3,p4,p5,p6,p7,p8
37152673,0.650847852230072,0.650847852230072,1.845468521118164,1466.0,1460.0,1.845468521118164,0.5299999713897705,1.0
37252789,-0.2028108835220337,-0.2028108537197113,10.541479110717773,1457.0,1459.0,10.541479110717773,0.5450000166893005,1.0
37352353,-0.05037170648574829,-0.05037170648574829,3.6210811138153076,1457.0,1459.0,3.6210811138153076,0.5450000166893005,1.0
37452351,0.9252380728721619,0.9252381324768066,-12.126052856445312,1458.0,1454.0,-12.126052856445312,0.5460000038146973,1.0
37552353,0.3154820501804352,0.3154820501804352,-1.8495490550994873,1458.0,1456.0,-1.8495490550994873,0.546999990940094,1.0
37652344,0.07157962024211884,0.07157961279153824,1.1368918418884277,1458.0,1457.0,1.1368918418884277,0.5450000166893005,1.0
37752354,0.1325552761554718,0.1325552761554718,-2.7623672485351562,1458.0,1457.0,-2.7623672485351562,0.5450000166893005,1.0
37852365,-0.14183498919010162,-0.14183498919010162,1.4808523654937744,1457.0,1457.0,1.4808523654937744,0.5460000038146973,1.0
37952763,-0.019883878529071808,-0.01988387666642666,-1.1505608558654785,1458.0,1456.0,-1.1505608558654785,0.5440000295639038,1.0
38052551,-1.9406156539916992,-1.9406156539916992,4.692224979400635,1459.0,1465.0,4.692224979400635,0.5450000166893005,1.0
38152533,-0.11134715378284454,-0.11134715378284454,1.0607166290283203,1453.0,1456.0,1.0607166290283203,0.5379999876022339,1.0
38252666,0.19353073835372925,0.19353072345256805,-6.3061323165893555,1462.0,1459.0,-6.3061323165893555,0.546999990940094,1.0
38352593,-3.861347198486328,-3.861347198486328,12.744438171386719,1455.0,1470.0,12.744438171386719,0.5400000214576721,1.0
38452354,-9.501591682434082,-9.501591682434082,30.373353958129883,1459.0,1487.0,30.373353958129883,0.546999990940094,1.0
38552493,-10.934517860412598,-10.934517860412598,32.58281326293945,1457.0,1489.0,32.58281326293945,0.5429999828338623,1.0
38652359,-13.343053817749023,-13.343053817749023,36.39457321166992,1457.0,1494.0,36.39457321166992,0.5419999957084656,1.0
38752676,-14.562566757202148,-14.562566757202148,38.31133270263672,1462.0,1499.0,38.31133270263672,0.5400000214576721,1.0
38852554,-17.611347198486328,-17.611347198486328,46.59465026855469,1458.0,1503.0,46.59465026855469,0.5440000295639038,1.0
38952651,-19.501590728759766,-19.501590728759766,49.71416473388672,1459.0,1508.0,49.71416473388672,0.546999990940094,1.0
39052352,-21.696714401245117,-21.696714401245117,55.295372009277344,1457.0,1511.0,55.295372009277344,0.5450000166893005,1.0
39152352,-18.556468963623047,-18.556468963623047,48.87078094482422,1459.0,1506.0,48.87078094482422,0.546999990940094,1.0
39252354,-11.849152565002441,-11.849152565002441,29.614662170410156,1458.0,1490.0,29.614662170410156,0.5450000166893005,1.0
39352354,0.7118234634399414,0.7118234038352966,8.326642036437988,1459.0,1456.0,8.326642036437988,0.546999990940094,1.0
39452352,19.98011589050293,19.98011589050293,-60.568111419677734,1459.0,1408.0,-60.568111419677734,0.5460000038146973,1.0
39552340,20.620361328125,20.620361328125,-54.19546890258789,1458.0,1406.0,-54.19546890258789,0.5460000038146973,1.0
39652353,24.949628829956055,24.949628829956055,-64.5350570678711,1458.0,1397.0,-64.5350570678711,0.5450000166893005,1.0
39752353,30.010604858398438,30.010604858398438,-69.44267272949219,1458.0,1388.0,-69.44267272949219,0.5460000038146973,1.0
39852348,28.150848388671875,28.150848388671875,-67.39664459228516,1458.0,1391.0,-67.39664459228516,0.5450000166893005,1.0
39952354,24.91914176940918,24.91914176940918,-53.10252380371094,1459.0,1399.0,-53.10252380371094,0.546999990940094,1.0
40052354,22.26670265197754,22.26670265197754,-58.33934020996094,1459.0,1404.0,-58.33934020996094,0.546999990940094,1.0
40152354,20.31548309326172,20.31548309326172,-50.78499221801758,1459.0,1407.0,-50.78499221801758,0.546999990940094,1.0
40252331,21.748409271240234,21.748409271240234,-58.87422180175781,1460.0,1406.0,-58.87422180175781,0.5450000166893005,1.0
40352331,18.82158088684082,18.82158088684082,-54.20582580566406,1460.0,1412.0,-54.20582580566406,0.5460000038146973,1.0
40452355,17.784996032714844,17.784996032714844,-49.040550231933594,1461.0,1415.0,-49.040550231933594,0.5410000085830688,1.0
40552353,15.650848388671875,15.650848388671875,-38.26103973388672,1459.0,1418.0,-38.26103973388672,0.5460000038146973,1.0
40652673,10.955726623535156,10.955726623535156,-13.02065658569336,1424.0,1400.0,-13.02065658569336,0.5440000295639038,1.0
40752370,-2.21500563621521,-2.21500563621521,23.583961486816406,1389.0,1398.0,23.583961486816406,0.5450000166893005,1.0
40852567,-15.202810287475586,-15.202810287475586,40.7839469909668,1368.0,1411.0,40.7839469909668,0.5460000038146973,1.0
40952561,-14.989398002624512,-14.989398002624512,45.60096740722656,1351.0,1391.0,45.60096740722656,0.546999990940094,1.0
41052352,-15.202810287475586,-15.202810287475586,42.78327178955078,1351.0,1390.0,42.78327178955078,0.5460000038146973,1.0
41152349,-18.129640579223633,-18.129640579223633,46.7952995300293,1344.0,1391.0,46.7952995300293,0.5460000038146973,1.0
41252344,-15.324761390686035,-15.324761390686035,44.03474807739258,1324.0,1367.0,44.03474807739258,0.546999990940094,1.0
41352359,-15.172324180603027,-15.172324180603027,54.12824630737305,1303.0,1343.0,54.12824630737305,0.5460000038146973,1.0
41452355,-16.788177490234375,-16.788177490234375,55.88905334472656,1306.0,1349.0,55.88905334472656,0.546999990940094,1.0
41552570,-10.4467134475708,-10.4467134475708,11.126818656921387,1330.0,1358.0,11.126818656921387,0.5450000166893005,1.0
41652353,-14.044275283813477,-14.044275283813477,39.181724548339844,1330.0,1367.0,39.181724548339844,0.546999990940094,1.0
41752355,-9.379640579223633,-9.379640579223633,37.39019775390625,1362.0,1385.0,37.39019775390625,0.546999990940094,1.0
41852354,-2.9162254333496094,-2.9162254333496094,-18.468212127685547,1431.0,1433.0,-18.468212127685547,0.5450000166893005,1.0
41952337,-6.330859184265137,-6.330859184265137,38.363773345947266,1459.0,1479.0,38.363773345947266,0.5460000038146973,1.0
42052337,0.5898723602294922,0.5898723006248474,12.807385444641113,1475.0,1472.0,12.807385444641113,0.5450000166893005,1.0
42152327,4.705726146697998,4.705726146697998,-22.40546989440918,1552.0,1531.0,-22.40546989440918,0.5460000038146973,1.0
42252341,2.6325554847717285,2.6325552463531494,-33.14069366455078,1656.0,1640.0,-33.14069366455078,0.5460000038146973,1.0
42352377,-7.88573694229126,-7.88573694229126,34.8956184387207,1723.0,1741.0,34.8956184387207,0.5460000038146973,1.000499963760376
42452554,-0.2028108835220337,-0.2028108537197113,6.032414436340332,1738.0,1744.0,6.032414436340332,0.5320000052452087,1.0
42552617,-2.9467127323150635,-2.9467127323150635,5.872025966644287,1746.0,1752.0,5.872025966644287,0.546999990940094,1.0
42652632,-0.6296398639678955,-0.6296398639678955,2.5750858783721924,1740.0,1744.0,2.5750858783721924,0.5400000214576721,1.0
42752338,4.888652801513672,4.888652801513672,-16.278194427490234,1747.0,1731.0,-16.278194427490234,0.5460000038146973,1.0
42852677,8.913043022155762,8.913043022155762,-22.81322479248047,1740.0,1717.0,-22.81322479248047,0.550000011920929,1.0
42952522,4.0959696769714355,4.0959696769714355,-11.763803482055664,1746.0,1733.0,-11.763803482055664,0.550000011920929,1.0
43052624,7.784994602203369,7.784994602203369,-24.879343032836914,1742.0,1718.0,-24.879343032836914,0.546999990940094,1.0
43152341,7.663043022155762,7.663043022155762,-25.376985549926758,1735.0,1713.0,-25.376985549926758,0.5460000038146973,1.0
43252338,4.675238132476807,4.675238132476807,-21.752113342285156,1733.0,1717.0,-21.752113342285156,0.546999990940094,1.0
43352332,2.7545065879821777,2.7545065879821777,-9.69216537475586,1727.0,1718.0,-9.69216537475586,0.5450000166893005,1.0
43452323,-0.41622525453567505,-0.41622525453567505,4.660651206970215,1725.0,1727.0,4.660651206970215,0.546999990940094,1.0
43552319,-1.6662256717681885,-1.6662256717681885,4.396111488342285,1697.0,1706.0,4.396111488342285,0.5450000166893005,1.0
43652330,-1.0259814262390137,-1.0259814262390137,5.797914981842041,1654.0,1662.0,5.797914981842041,0.5460000038146973,1.0
43752331,3.943530797958374,3.943530797958374,2.860733985900879,1584.0,1578.0,2.860733985900879,0.546999990940094,1.0
43852331,7.480116367340088,7.480116367340088,-19.206010818481445,1549.0,1528.0,-19.206010818481445,0.5479999780654907,1.0
43952327,8.669140815734863,8.669140815734863,-26.47537612915039,1542.0,1516.0,-26.47537612915039,0.5450000166893005,1.0
44052331,11.534994125366211,11.534994125366211,-27.067365646362305,1533.0,1501.0,-27.067365646362305,0.5460000038146973,1.0
44152328,3.943530797958374,3.943530797958374,-2.9915707111358643,1527.0,1517.0,-2.9915707111358643,0.5450000166893005,1.0
44252327,-22.21500587463379,-22.21500587463379,57.768882751464844,1526.0,1582.0,57.768882751464844,0.5460000038146973,1.0
44352344,-30.01988410949707,-30.01988410949707,78.73833465576172,1534.0,1604.0,78.73833465576172,0.546999990940094,1.0
44452328,-26.391834259033203,-26.391834259033203,57.13581848144531,1539.0,1602.0,57.13581848144531,0.546999990940094,1.0
44552327,-26.33085823059082,-26.33085823059082,58.47705841064453,1549.0,1609.0,58.47705841064453,0.5460000038146973,1.0
44652332,-16.635738372802734,-16.635738372802734,48.75886535644531,1558.0,1601.0,48.75886535644531,0.5460000038146973,1.0
44752332,-10.812566757202148,-10.812566757202148,29.814472198486328,1565.0,1594.0,29.814472198486328,0.5450000166893005,1.0
44852341,-11.849152565002441,-11.849152565002441,33.10952377319336,1566.0,1601.0,33.10952377319336,0.5429999828338623,1.0
44952545,-5.477200508117676,-5.477200508117676,18.55824089050293,1566.0,1583.0,18.55824089050293,0.5479999780654907,1.0
45052537,-2.702810525894165,-2.702810525894165,14.963982582092285,1571.0,1581.0,14.963982582092285,0.5460000038146973,1.0
45152330,8.425237655639648,8.425237655639648,-8.350299835205078,1554.0,1531.0,-8.350299835205078,0.5450000166893005,1.0
45252332,14.248409271240234,14.248409271240234,-56.199073791503906,1543.0,1504.0,-56.199073791503906,0.5450000166893005,1.0
45352741,16.108165740966797,16.108165740966797,-45.05084991455078,1544.0,1501.0,-45.05084991455078,0.5450000166893005,1.0
45452331,24.21792221069336,24.21792221069336,-59.13238525390625,1544.0,1484.0,-59.13238525390625,0.5450000166893005,1.0
45552331,21.809385299682617,21.809385299682617,-57.73529815673828,1544.0,1490.0,-57.73529815673828,0.5460000038146973,1.0
45652328,11.352067947387695,11.352067947387695,-28.33148193359375,1545.0,1514.0,-28.33148193359375,0.5450000166893005,1.0
45752332,-12.519885063171387,-12.519885063171387,34.4463996887207,1559.0,1592.0,34.4463996887207,0.5460000038146973,1.0
45852332,-23.160127639770508,-23.160127639770508,61.445411682128906,1591.0,1646.0,61.445411682128906,0.5450000166893005,1.0
45952332,-21.26988410949707,-21.26988410949707,37.85458755493164,1604.0,1653.0,37.85458755493164,0.5460000038146973,1.0
46052328,-20.32476234436035,-20.32476234436035,61.348567962646484,1615.0,1665.0,61.348567962646484,0.5450000166893005,1.0
46152331,-15.873543739318848,-15.873543739318848,40.34437942504883,1624.0,1664.0,40.34437942504883,0.5460000038146973,1.0
46252327,-9.532078742980957,-9.532078742980957,21.294832229614258,1643.0,1667.0,21.294832229614258,0.5450000166893005,1.0019999742507935
46352608,0.10206744074821472,0.10206744074821472,-2.6560802459716797,1651.0,1650.0,-2.6560802459716797,0.5509999990463257,1.0
46452548,8.486213684082031,8.486213684082031,-27.32172393798828,1635.0,1610.0,-27.32172393798828,0.5450000166893005,1.0
46552320,10.528897285461426,10.528897285461426,-19.368967056274414,1619.0,1593.0,-19.368967056274414,0.546999990940094,1.0
46652513,16.47402000427246,16.47402000427246,-49.63783645629883,1587.0,1546.0,-49.63783645629883,0.5490000247955322,1.0
46752661,18.059385299682617,18.059385299682617,-52.36927795410156,1572.0,1527.0,-52.36927795410156,0.550000011920929,1.0
46852633,18.638652801513672,18.638652801513672,-51.11827087402344,1570.0,1522.0,-51.11827087402344,0.5440000295639038,1.0
46952868,10.528897285461426,10.528897285461426,-26.042089462280273,1574.0,1546.0,-26.042089462280273,0.5519999861717224,1.0
47052520,-11.910128593444824,-11.910128593444824,22.840166091918945,1590.0,1621.0,22.840166091918945,0.5490000247955322,1.0
47152547,-22.702810287475586,-22.702810287475586,51.128135681152344,1603.0,1658.0,51.128135681152344,0.5450000166893005,1.0
47252331,-18.739397048950195,-18.739397048950195,54.72982406616211,1620.0,1667.0,54.72982406616211,0.5460000038146973,1.0
47352331,-18.952810287475586,-18.952810287475586,49.64383316040039,1630.0,1677.0,49.64383316040039,0.5450000166893005,1.0
47452331,-14.654029846191406,-14.654029846191406,36.44523620605469,1647.0,1685.0,36.44523620605469,0.546999990940094,1.003999948501587
47552330,-12.702811241149902,-12.702811241149902,37.01047134399414,1650.0,1685.0,37.01047134399414,0.5460000038146973,1.0140000581741333
47652328,-11.54427433013916,-11.54427433013916,40.986289978027344,1653.0,1685.0,40.986289978027344,0.546999990940094,1.0240000486373901
47752329,-9.958908081054688,-9.958908081054688,32.07480239868164,1654.0,1684.0,32.07480239868164,0.5450000166893005,1.034000039100647
47852337,-7.123542785644531,-7.123542785644531,21.99372100830078,1652.0,1674.0,21.99372100830078,0.5460000038146973,1.0440000295639038
47952331,2.480116128921509,2.480116128921509,-6.863425254821777,1643.0,1635.0,-6.863425254821777,0.5450000166893005,1.0180000066757202
48052330,11.443531036376953,11.443531036376953,-40.25164794921875,1619.0,1588.0,-40.25164794921875,0.5460000038146973,1.0
48152332,11.8093843460083,11.8093843460083,-32.78567886352539,1581.0,1549.0,-32.78567886352539,0.5450000166893005,1.0
48252332,13.0593843460083,13.0593843460083,-31.403520584106445,1560.0,1524.0,-31.403520584106445,0.5450000166893005,1.0
48352329,15.864262580871582,15.864262580871582,-41.317138671875,1559.0,1517.0,-41.317138671875,0.5450000166893005,1.0
