t_us,p1,p2,p3,p4,p5,p6,p7,p8
40001000,0.025116249918937683,0.02511625364422798,-1.2912722826004028,1500.0,1499.0,-1.2912722826004028,0.5,1.0
40250700,0.08609191328287125,0.08609191328287125,-0.31201618909835815,1500.0,1499.0,-0.31201618909835815,0.5,1.0
40500940,0.11657974123954773,0.11657974123954773,-1.0267126560211182,1500.0,1499.0,-1.0267126560211182,0.5,1.0
40750705,-0.03585940599441528,-0.03585940599441528,0.8647328615188599,1500.0,1499.0,0.8647328615188599,0.5,1.0
41000708,0.025116249918937683,0.02511625364422798,0.8009006977081299,1500.0,1499.0,0.8009006977081299,0.5,1.0
41250709,-0.005371576640754938,-0.005371576640754938,0.06618893891572952,1500.0,1499.0,0.06618893891572952,0.5,1.0
41500722,0.02511625364422798,0.02511625364422798,-0.8085659146308899,1500.0,1500.0,-0.8085659146308899,0.5,1.0
41750721,0.025116249918937683,0.02511625364422798,0.8009008169174194,1500.0,1499.0,0.8009008169174194,0.5,1.0
42000708,0.11657974123954773,0.11657974123954773,-1.0267126560211182,1500.0,1499.0,-1.0267126560211182,0.5,1.0
42250701,0.02511625364422798,0.02511625364422798,-0.3379961848258972,1500.0,1500.0,-0.3379961848258972,0.27900001406669617,1.0
42500995,0.11657974123954773,0.11657974123954773,-0.4867543876171112,1500.0,1500.0,-0.4867543876171112,0.27900001406669617,1.0
42751114,0.02511625364422798,0.02511625364422798,-0.14255264401435852,1500.0,1499.0,-0.14255264401435852,0.27900001406669617,1.0
43000699,11.183653831481934,11.183653831481934,-19.201171875,1500.0,1482.0,-19.201171875,0.27900001406669617,1.0
43250700,-0.3712250888347626,-0.37122511863708496,4.1301960945129395,1500.0,1501.0,4.1301960945129395,0.27900001406669617,1.0
43500694,1.1226773262023926,1.1226773262023926,9.26259708404541,1500.0,1499.0,9.26259708404541,0.27900001406669617,1.0
43750702,-9.426103591918945,-9.426103591918945,20.232650756835938,1500.0,1515.0,20.232650756835938,0.27900001406669617,1.0
44000771,-10.035859107971191,-10.035859107971191,16.5174617767334,1500.0,1512.0,16.5174617767334,0.27900001406669617,1.0
44250704,-55.73707962036133,-55.73707962036133,72.689453125,1500.0,1568.0,72.689453125,0.27900001406669617,1.0
44500710,-44.48707962036133,-44.48707962036133,118.63414001464844,1500.0,1605.0,118.63414001464844,0.6209999918937683,1.0
44751181,-4.1517133712768555,-4.1517133712768555,3.0286009311676025,2007.0,1682.0,3.0286009311676025,0.5960000157356262,1.0
45000717,-16.0114688873291,-16.0114688873291,-25.757349014282227,1747.0,1738.0,-25.757349014282227,0.7570000290870667,1.0240000486373901
45250714,-70.21878814697266,-70.21878814697266,200.07449340820312,969.0,1243.0,200.07449340820312,0.7570000290870667,1.0
45500720,-70.79804992675781,-70.79804992675781,78.78812408447266,1233.0,1305.0,78.78812408447266,0.2409999966621399,1.0
45750711,7.22023868560791,7.22023868560791,-20.407386779785156,1121.0,1240.0,-20.407386779785156,0.2409999966621399,1.000499963760376
46000707,40.7568244934082,40.7568244934082,-51.40144348144531,1262.0,1240.0,-51.40144348144531,0.24799999594688416,1.025499939918518
46250702,51.275115966796875,51.275115966796875,-59.25358581542969,2182.0,1753.0,-59.25358581542969,0.24799999594688416,1.0
46500701,53.01292037963867,53.01292037963867,-144.51754760742188,1785.0,1641.0,-144.51754760742188,0.7519999742507935,1.0
46750735,27.49462890625,27.49462890625,-84.85267639160156,1412.0,1327.0,-84.85267639160156,0.7519999742507935,1.0
47000797,3.4092626571655273,3.4092626571655273,3.8227694034576416,1412.0,1407.0,3.8227694034576416,0.25699999928474426,1.0
47250701,1.976335883140564,1.976335883140564,-5.067239761352539,2068.0,1752.0,-5.067239761352539,0.25699999928474426,1.0
47500699,-1.7431764602661133,-1.7431764602661133,7.106301784515381,1996.0,1753.0,7.106301784515381,0.2029999941587448,1.0
47750692,1.3665797710418701,1.3665797710418701,1.6392673254013062,1996.0,1753.0,1.6392673254013062,0.2029999941587448,1.0
48000698,-1.0114691257476807,-1.0114691257476807,3.6483538150787354,2198.0,1753.0,3.6483538150787354,0.2029999941587448,1.0
48251002,-3.6943957805633545,-3.6943957805633545,8.527987480163574,2199.0,1753.0,8.527987480163574,0.2029999941587448,1.0
48500700,0.7263357043266296,0.7263357043266296,1.1008822917938232,2199.0,1753.0,1.1008822917938232,0.2029999941587448,1.0
48750704,-0.2797618508338928,-0.2797618508338928,1.064477801322937,2199.0,1753.0,1.064477801322937,0.2029999941587448,1.0
49001017,-1.041956901550293,-1.041956901550293,0.0,2199.0,1753.0,0.0,0.0,1.0
49250681,-0.5236642360687256,-0.5236642956733704,0.0,2199.0,1753.0,0.0,0.0,1.0
49500690,9.476335525512695,9.476335525512695,0.0,2199.0,1753.0,0.0,0.0,1.0
49750681,9.598286628723145,9.598286628723145,0.0,2199.0,1753.0,0.0,0.0,1.0
50000681,82.25072479248047,82.25072479248047,0.0,2199.0,1753.0,0.0,0.0,1.0
50250681,46.03121566772461,46.03121566772461,0.0,2199.0,1753.0,0.0,0.0,1.0
50500901,49.2324333190918,49.2324333190918,0.0,2199.0,1753.0,0.0,0.0,1.0
50750948,47.86048126220703,47.86048126220703,-131.00228881835938,2199.0,1753.0,-131.00228881835938,0.8579999804496765,1.0
51000949,45.177555084228516,45.177555084228516,-137.02992248535156,2199.0,1753.0,-137.02992248535156,0.8579999804496765,1.0
51251033,24.415361404418945,24.415361404418945,-83.78388977050781,2199.0,1753.0,-83.78388977050781,0.8579999804496765,1.0
51500703,-3.7858593463897705,-3.7858593463897705,2.6982457637786865,2199.0,1753.0,2.6982457637786865,0.8579999804496765,1.0
51750700,-24.395614624023438,-24.395614624023438,105.72599792480469,2199.0,1753.0,105.72599792480469,0.8579999804496765,1.0045000314712524
52001326,-80.76756286621094,-80.76756286621094,201.0659637451172,2199.0,1753.0,201.0659637451172,0.8579999804496765,1.0295000076293945
52250699,-25.462688446044922,-25.462688446044922,89.06907653808594,2199.0,1753.0,89.06907653808594,0.8579999804496765,1.0544999837875366
52500698,-10.676103591918945,-10.676103591918945,62.94387435913086,2199.0,1753.0,62.94387435913086,0.8579999804496765,1.0694999694824219
52750983,5.909262657165527,5.909262657165527,-24.04840850830078,1156.0,1240.0,-24.04840850830078,0.8579999804496765,1.0164999961853027
53000910,3.8056042194366455,3.8056042194366455,-27.066524505615234,960.0,1240.0,-27.066524505615234,0.8579999804496765,1.0
53250783,-4.304152488708496,-4.304152488708496,23.183198928833008,946.0,1240.0,23.183198928833008,0.8579999804496765,1.0
53500932,-0.40171295404434204,-0.40171295404434204,7.629056453704834,946.0,1240.0,7.629056453704834,0.8579999804496765,1.0
53750711,-0.8590299487113953,-0.8590299487113953,3.3336637020111084,946.0,1240.0,3.3336637020111084,0.8579999804496765,1.0
54000719,-0.7675666809082031,-0.7675666809082031,3.3723275661468506,946.0,1240.0,3.3723275661468506,0.8579999804496765,1.0
54251129,0.878774881362915,0.878774881362915,-2.1633341312408447,946.0,1240.0,-2.1633341312408447,0.8579999804496765,1.0
