t_us,p1,p2,p3,p4,p5,p6,p7,p8
50727879,-0.036589495837688446,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
50976846,-0.0061014508828520775,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
51227016,0.05487421154975891,0.05487421154975891,0.0,1500.0,1500.0,0.0,0.0,1.0
51476852,-0.036589495837688446,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
51726847,-0.06707711517810822,-0.06707711517810822,0.0,1500.0,1500.0,0.0,0.0,1.0
51977168,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
52227191,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
52476893,-0.06707711517810822,-0.06707711517810822,0.0,1500.0,1500.0,0.0,0.0,1.0
52726847,-0.12805277109146118,-0.12805277109146118,0.0,1500.0,1500.0,0.0,0.0,1.0
52976846,-0.036589495837688446,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
53226846,0.14633749425411224,0.14633749425411224,0.0,1500.0,1500.0,0.0,0.0,1.0
53476846,0.0853620395064354,0.0853620395064354,0.0,1500.0,1500.0,0.0,0.0,1.0
53726875,0.05487421154975891,0.05487421154975891,0.0,1500.0,1500.0,0.0,0.0,1.0
53976849,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
54226988,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
54477093,-0.06707711517810822,-0.06707711517810822,0.0,1500.0,1500.0,0.0,0.0,1.0
54726855,0.05487421154975891,0.05487421154975891,0.0,1500.0,1500.0,0.0,0.0,1.0
54976908,-0.036589495837688446,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
55226846,0.024386383593082428,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
55476846,0.05487421154975891,0.05487421154975891,0.0,1500.0,1500.0,0.0,0.0,1.0
55726854,-0.06707711517810822,-0.06707711517810822,0.0,1500.0,1500.0,0.0,0.0,1.0
55976874,0.05487421154975891,0.05487421154975891,0.0,1500.0,1500.0,0.0,0.0,1.0
56227280,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
56477190,-0.036589495837688446,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
56726847,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
56976846,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
57226846,-0.03658948838710785,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
57476855,0.02438637614250183,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
57726847,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
57976869,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
58227000,-0.036589495837688446,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
58476904,-0.0975649431347847,-0.0975649431347847,0.0,1500.0,1500.0,0.0,0.0,1.0
58726883,0.02438637614250183,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
58976846,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
59226846,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
59476866,-0.036589495837688446,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
59726852,-0.0975649505853653,-0.0975649431347847,0.0,1500.0,1500.0,0.0,0.0,1.0
59976846,0.11584965884685516,0.11584965884685516,0.0,1500.0,1500.0,0.0,0.0,1.0
60226867,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
60477035,-0.0975649356842041,-0.0975649431347847,0.0,1500.0,1500.0,0.0,0.0,1.0
60727159,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
60976846,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
61226846,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
61476880,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
61726849,0.05487421154975891,0.05487421154975891,0.0,1500.0,1500.0,0.0,0.0,1.0
61976897,-0.036589495837688446,-0.036589495837688446,0.0,1500.0,1500.0,0.0,0.0,1.0
62226846,-0.0975649431347847,-0.0975649431347847,0.0,1500.0,1500.0,0.0,0.0,1.0
62476880,0.14633749425411224,0.14633749425411224,0.0,1500.0,1500.0,0.0,0.0,1.0
62726973,0.02438637986779213,0.02438637986779213,0.0,1500.0,1500.0,0.0,0.0,1.0
62977163,-0.06707711517810822,-0.06707711517810822,0.0,1500.0,1500.0,0.0,0.0,1.0
63227032,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
63476876,-0.06707711517810822,-0.06707711517810822,0.0,1500.0,1500.0,0.0,0.0,1.0
63726847,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
63976890,-0.0975649431347847,-0.0975649431347847,0.0,1500.0,1500.0,0.0,0.0,1.0
64226846,-0.006101451814174652,-0.0061014508828520775,0.0,1500.0,1500.0,0.0,0.0,1.0
64476933,0.2073131501674652,0.2073131501674652,0.0,1500.0,1500.0,0.0,0.0,1.0
64726850,-15.615859031677246,-15.615859031677246,0.0,1500.0,1500.0,0.0,0.0,1.0
64976856,55.78658676147461,55.78658676147461,0.0,1500.0,1500.0,0.0,0.0,1.0
65226953,41.39633560180664,41.39633560180664,0.0,1500.0,1500.0,0.0,0.0,1.0
65476846,20.17682647705078,20.17682647705078,0.0,1500.0,1500.0,0.0,0.0,1.0
65726858,-123.42073822021484,-123.42073822021484,0.0,1500.0,1500.0,0.0,0.0,1.0
65976846,-120.31098175048828,-120.31098175048828,0.0,1500.0,1500.0,0.0,0.0,1.0
66226908,-133.11585998535156,-133.11585998535156,369.5195007324219,1500.0,1750.0,369.5195007324219,0.8500000238418579,1.0
66476903,-121.5304946899414,-121.5304946899414,334.43267822265625,1500.0,1747.0,334.43267822265625,0.8500000238418579,1.0
66726927,55.29877853393555,55.29877853393555,-146.29066467285156,1500.0,1339.0,-146.29066467285156,0.8500000238418579,1.0
66976898,68.56097412109375,68.56097412109375,-185.2354736328125,1500.0,1307.0,-185.2354736328125,0.8500000238418579,1.0
67227315,45.81707000732422,45.81707000732422,-123.36392211914062,1500.0,1361.0,-123.36392211914062,0.8500000238418579,1.0
67477089,51.1219482421875,51.1219482421875,-182.13821411132812,1500.0,1341.0,-182.13821411132812,0.8500000238418579,1.0
67726953,44.597557067871094,44.597557067871094,-115.20849609375,1500.0,1365.0,-115.20849609375,0.8500000238418579,1.0
67976910,36.09145736694336,36.09145736694336,-101.66716766357422,1500.0,1386.0,-101.66716766357422,0.8500000238418579,1.0
68226941,-77.93292999267578,-77.93292999267578,224.92449951171875,1500.0,1718.0,224.92449951171875,0.8500000238418579,1.0
68476909,-63.39024353027344,-63.39024353027344,83.43077087402344,1500.0,1642.0,83.43077087402344,0.8500000238418579,1.0
68726926,-24.518299102783203,-24.518299102783203,23.649688720703125,1500.0,1557.0,23.649688720703125,0.8500000238418579,1.0
68976950,-43.32927322387695,-43.32927322387695,165.03070068359375,1500.0,1638.0,165.03070068359375,0.8500000238418579,1.0
69227235,-17.841466903686523,-17.841466903686523,-36.018829345703125,1594.0,1616.0,-36.018829345703125,0.8500000238418579,1.0
69476916,105.35974884033203,105.35974884033203,-262.9380798339844,1594.0,1319.0,-262.9380798339844,0.8500000238418579,1.0
69726955,71.67073059082031,71.67073059082031,-140.13279724121094,1763.0,1572.0,-140.13279724121094,0.8500000238418579,1.0
69977115,-1.6219549179077148,-1.6219549179077148,-22.538406372070312,1763.0,1742.0,-22.538406372070312,0.8500000238418579,1.0
70226935,6.426825523376465,6.426825523376465,-19.635604858398438,1763.0,1736.0,-19.635604858398438,0.8500000238418579,1.0
70476905,1.5182886123657227,1.5182887315750122,-37.513267517089844,1763.0,1738.0,-37.513267517089844,0.8500000238418579,1.0
70726909,-5.798785209655762,-5.798785209655762,32.70048522949219,1763.0,1753.0,32.70048522949219,0.8500000238418579,1.0
